Paper;one_true;p_val;p - val_str;CI;bayes
2021/3445301.html;False;False;False;False;False
2021/3445530.html;True;True;False;False;False
2021/3445273.html;False;False;False;False;False
2021/3445108.html;False;False;False;False;False
2021/3445717.html;True;True;False;True;False
2021/3445452.html;True;False;False;True;False
2021/3445711.html;False;False;False;False;False
2021/3445706.html;False;False;False;False;False
2021/3445348.html;True;True;False;False;False
2021/3445231.html;False;False;False;False;False
2021/3445200.html;False;False;False;False;False
2021/3445680.html;False;False;False;False;False
2021/3445300.html;True;True;False;False;False
2021/3445615.html;True;True;False;False;False
2021/3445247.html;True;True;True;False;False
2021/3445053.html;False;False;False;False;False
2021/3445686.html;False;False;False;False;False
2021/3445216.html;False;False;False;False;False
2021/3445143.html;True;False;True;False;False
2021/3445708.html;True;True;False;False;False
2021/3445179.html;True;True;False;False;False
2021/3445126.html;False;False;False;False;False
2021/3445052.html;False;False;False;False;False
2021/3445517.html;True;True;True;False;False
2021/3445327.html;False;False;False;False;False
2021/3445677.html;False;False;False;False;False
2021/3445085.html;False;False;False;False;False
2021/3445578.html;True;True;False;False;False
2021/3445402.html;False;False;False;False;False
2021/3445492.html;True;True;False;False;False
2021/3445669.html;True;True;False;False;False
2021/3445480.html;False;False;False;False;False
2021/3445353.html;True;True;False;False;False
2021/3445461.html;True;True;False;True;False
2021/3445724.html;True;True;False;False;False
2021/3445044.html;False;False;False;False;False
2021/3445535.html;False;False;False;False;False
2021/3445343.html;True;True;False;False;False
2021/3445527.html;False;False;False;False;False
2021/3445614.html;False;False;False;False;False
2021/3445376.html;False;False;False;False;False
2021/3445058.html;False;False;False;False;False
2021/3445341.html;False;False;False;False;False
2021/3445626.html;False;False;False;False;False
2021/3445124.html;True;True;False;False;False
2021/3445330.html;True;True;False;True;False
2021/3445408.html;False;False;False;False;False
2021/3445434.html;True;True;True;False;False
2021/3445377.html;False;False;False;False;False
2021/3445524.html;True;True;True;True;False
2021/3445673.html;True;True;True;True;False
2021/3445765.html;False;False;False;False;False
2021/3445093.html;True;True;False;False;False
2021/3445645.html;True;True;True;False;False
2021/3445640.html;False;False;False;False;False
2021/3445540.html;False;False;False;False;False
2021/3445258.html;True;True;True;True;False
2021/3445094.html;False;False;False;False;False
2021/3445306.html;False;False;False;False;False
2021/3445609.html;True;True;False;False;False
2021/3445086.html;False;False;False;False;False
2021/3445096.html;True;True;False;False;False
2021/3445287.html;False;False;False;False;False
2021/3445748.html;True;True;True;True;False
2021/3445068.html;True;True;False;False;False
2021/3445209.html;True;True;False;False;False
2021/3445747.html;False;False;False;False;False
2021/3445284.html;True;True;True;False;False
2021/3445482.html;False;False;False;False;False
