"doi","experiment_design","mean_es_per_paper","median_es_per_paper","sd_es_per_paper","mad_es_per_paper","num_es_per_paper","median_N_num_per_paper","no_meta_max_N_per_paper","no_meta_min_N_per_paper","no_meta_median_N_per_paper","num_topic","topic","topic_category","topic_for_analysis"
"10.1145/3411764.3445246","between",0.37410594784347,0.416061074738623,0.21740302734936,0.125188410771421,24,40,40,40,40,"topic_4","mixed / augmented reality","human centered computing","mixed / augmented reality"
"10.1145/3411764.3445247","between",0.122013343449259,0.106065755284965,0.112492978177201,0.123327559352789,18,175,175,175,175,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445258","between",0.252401594024112,0.253529510097777,0.0482631271416566,0.0526035550551174,4,352.5,437,437,437,"topic_1","security and privacy","security and privacy","security and privacy"
"10.1145/3411764.3445258","between",0.252401594024112,0.253529510097777,0.0482631271416566,0.0526035550551174,4,352.5,437,437,437,"topic_2","security and privacy","security and privacy","security and privacy"
"10.1145/3411764.3445258","between",0.252401594024112,0.253529510097777,0.0482631271416566,0.0526035550551174,4,352.5,437,437,437,"topic_3","security and privacy","security and privacy","security and privacy"
"10.1145/3411764.3445258","within",0.162596936609759,0.138679597428983,0.0865392283866327,0.0834754707353896,10,352.5,437,437,437,"topic_1","security and privacy","security and privacy","security and privacy"
"10.1145/3411764.3445258","within",0.162596936609759,0.138679597428983,0.0865392283866327,0.0834754707353896,10,352.5,437,437,437,"topic_2","security and privacy","security and privacy","security and privacy"
"10.1145/3411764.3445258","within",0.162596936609759,0.138679597428983,0.0865392283866327,0.0834754707353896,10,352.5,437,437,437,"topic_3","security and privacy","security and privacy","security and privacy"
"10.1145/3411764.3445269","between",0.29800937826732,0.29800937826732,NA,0,1,103,103,103,103,"topic_1","user studies","human centered computing","empirical studies in hci"
"10.1145/3411764.3445269","between",0.29800937826732,0.29800937826732,NA,0,1,103,103,103,103,"topic_2","human computer interaction (hci)","human centered computing","human computer interaction (hci)"
"10.1145/3411764.3445269","between",0.29800937826732,0.29800937826732,NA,0,1,103,103,103,103,"topic_3","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445269","between",0.29800937826732,0.29800937826732,NA,0,1,103,103,103,103,"topic_5","applied computing","applied computing","applied computing"
"10.1145/3411764.3445270","within",0.213579081593909,0.244948974278318,0.068194838381971,0.0290977401134019,3,63,68,54,63,"topic_1","hci theory, concepts and models","human centered computing","hci theory, concepts and models"
"10.1145/3411764.3445270","within",0.213579081593909,0.244948974278318,0.068194838381971,0.0290977401134019,3,63,68,54,63,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445274","between",0.217138943007074,0.21180339887499,0.02162342648674,0.0174997191720594,4,168,168,168,168,"topic_3","human computer interaction (hci)","human centered computing","human computer interaction (hci)"
"10.1145/3411764.3445274","between",0.217138943007074,0.21180339887499,0.02162342648674,0.0174997191720594,4,168,168,168,168,"topic_5","empirical studies in collaborative and social computing","human centered computing","collaborative and social computing"
"10.1145/3411764.3445274","between",0.217138943007074,0.21180339887499,0.02162342648674,0.0174997191720594,4,168,168,168,168,"topic_6","collaborative and social computing","human centered computing","collaborative and social computing"
"10.1145/3411764.3445274","between",0.217138943007074,0.21180339887499,0.02162342648674,0.0174997191720594,4,168,168,168,168,"topic_7","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445284","between",0.787454117337048,0.6696,0.289913978809761,0.35226576,8,106,108,106,106,"topic_1","hci theory, concepts and models","human centered computing","hci theory, concepts and models"
"10.1145/3411764.3445284","between",0.787454117337048,0.6696,0.289913978809761,0.35226576,8,106,108,106,106,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445284","between",0.787454117337048,0.6696,0.289913978809761,0.35226576,8,106,108,106,106,"topic_3","empirical studies in hci","human centered computing","empirical studies in hci"
"10.1145/3411764.3445292","between",0.189326447979957,0.128092659839799,0.154789906886136,0.126569744771593,10,53.5,62,41,53.5,"topic_2","applied computing","applied computing","applied computing"
"10.1145/3411764.3445292","within",0.250962710690757,0.194527112104752,0.157175212365477,0.0732899484668616,5,42,46,37,42,"topic_2","applied computing","applied computing","applied computing"
"10.1145/3411764.3445309","within",0.525503327360807,0.495758077483184,0.176079839283085,0.208076029529476,9,55,55,55,55,"topic_1","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445309","within",0.525503327360807,0.495758077483184,0.176079839283085,0.208076029529476,9,55,55,55,55,"topic_2","social and professional topics","social and professional topics","social and professional topics"
"10.1145/3411764.3445315","within",0.0444227993630357,0.0444227993630357,NA,0,1,352.5,594,594,594,"topic_1","computing methodologies","computing methodologies","computing methodologies"
"10.1145/3411764.3445315","within",0.0444227993630357,0.0444227993630357,NA,0,1,352.5,594,594,594,"topic_2","user studies","human centered computing","empirical studies in hci"
"10.1145/3411764.3445315","within",0.0444227993630357,0.0444227993630357,NA,0,1,352.5,594,594,594,"topic_3","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445324","between",0.125878383378681,0.0948683298050514,0.120661466040851,0.0937678571793128,22,22,22,16,22,"topic_1","empirical studies in hci","human centered computing","empirical studies in hci"
"10.1145/3411764.3445324","between",0.125878383378681,0.0948683298050514,0.120661466040851,0.0937678571793128,22,22,22,16,22,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445324","within",0.21382408310151,0.221359436211787,0.15474109653177,0.0976549736292445,34,22,22,22,22,"topic_1","empirical studies in hci","human centered computing","empirical studies in hci"
"10.1145/3411764.3445324","within",0.21382408310151,0.221359436211787,0.15474109653177,0.0976549736292445,34,22,22,22,22,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445330","between",0.242994430848778,0.20976176963403,0.13995780949518,0.106630492860924,18,17,18,16,17,"topic_1","user studies","human centered computing","empirical studies in hci"
"10.1145/3411764.3445330","between",0.242994430848778,0.20976176963403,0.13995780949518,0.106630492860924,18,17,18,16,17,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445339","between",0.318744078924292,0.476988387520261,0.234743950683718,0.137836526516281,5,10,20,3,10,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445339","between",0.318744078924292,0.476988387520261,0.234743950683718,0.137836526516281,5,10,20,3,10,"topic_5","applied computing","applied computing","applied computing"
"10.1145/3411764.3445339","within",0.496370679696374,0.604649324852817,0.202540984696857,0.0600406347243624,4,20,20,10,20,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445339","within",0.496370679696374,0.604649324852817,0.202540984696857,0.0600406347243624,4,20,20,10,20,"topic_5","applied computing","applied computing","applied computing"
"10.1145/3411764.3445340","between",0.69764793363518,0.69764793363518,0.0810846556946947,0.0850056269657235,2,16,16,16,16,"topic_1","hci theory, concepts and models","human centered computing","hci theory, concepts and models"
"10.1145/3411764.3445340","between",0.69764793363518,0.69764793363518,0.0810846556946947,0.0850056269657235,2,16,16,16,16,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445340","between",0.69764793363518,0.69764793363518,0.0810846556946947,0.0850056269657235,2,16,16,16,16,"topic_4","empirical studies in hci","human centered computing","empirical studies in hci"
"10.1145/3411764.3445351","within",0.230909090909091,0.23,0.131183424673588,0.177912,11,32,32,32,32,"topic_1","empirical studies in hci","human centered computing","empirical studies in hci"
"10.1145/3411764.3445351","within",0.230909090909091,0.23,0.131183424673588,0.177912,11,32,32,32,32,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445352","between",1.07369364877226,1.05578177882928,0.128637751990904,0.131635249947706,4,16,16,16,16,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445352","within",0.534171852970106,0.519615242270663,0.104045852238833,0.141367649918179,5,16,16,16,16,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445353","between",0.342222222222222,0.27,0.182330591082365,0.177912,9,273,273,273,273,"topic_1","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445353","between",0.342222222222222,0.27,0.182330591082365,0.177912,9,273,273,273,273,"topic_2","human computer interaction (hci)","human centered computing","human computer interaction (hci)"
"10.1145/3411764.3445353","between",0.342222222222222,0.27,0.182330591082365,0.177912,9,273,273,273,273,"topic_3","empirical studies in hci","human centered computing","empirical studies in hci"
"10.1145/3411764.3445353","between",0.342222222222222,0.27,0.182330591082365,0.177912,9,273,273,273,273,"topic_4","collaborative and social computing","human centered computing","collaborative and social computing"
"10.1145/3411764.3445353","between",0.342222222222222,0.27,0.182330591082365,0.177912,9,273,273,273,273,"topic_5","empirical studies in collaborative and social computing","human centered computing","collaborative and social computing"
"10.1145/3411764.3445360","between",0.630394668524893,0.630394668524893,NA,0,1,40,40,40,40,"topic_1","empirical studies in hci","human centered computing","empirical studies in hci"
"10.1145/3411764.3445360","between",0.630394668524893,0.630394668524893,NA,0,1,40,40,40,40,"topic_2","human computer interaction (hci)","human centered computing","human computer interaction (hci)"
"10.1145/3411764.3445360","between",0.630394668524893,0.630394668524893,NA,0,1,40,40,40,40,"topic_3","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445373","between",0.365086019025171,0.380444389153735,0.175654884517406,0.218841750710684,6,30,30,30,30,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445373","between",0.365086019025171,0.380444389153735,0.175654884517406,0.218841750710684,6,30,30,30,30,"topic_3","empirical studies in hci","human centered computing","empirical studies in hci"
"10.1145/3411764.3445386","between",0.129888,0.11808,0.05487766758892,0.044833824,25,331,331,331,331,"topic_1","empirical studies in hci","human centered computing","empirical studies in hci"
"10.1145/3411764.3445386","between",0.129888,0.11808,0.05487766758892,0.044833824,25,331,331,331,331,"topic_2","human-centered computing","human-centered computing","human-centered computing"
"10.1145/3411764.3445386","between",0.129888,0.11808,0.05487766758892,0.044833824,25,331,331,331,331,"topic_3","security and privacy","security and privacy","security and privacy"
"10.1145/3411764.3445386","between",0.129888,0.11808,0.05487766758892,0.044833824,25,331,331,331,331,"topic_4","security and privacy","security and privacy","security and privacy"
"10.1145/3411764.3445386","between",0.129888,0.11808,0.05487766758892,0.044833824,25,331,331,331,331,"topic_5","user studies","human centered computing","empirical studies in hci"
"10.1145/3411764.3445387","within",0.797938516889007,0.797938516889007,0.663580266239554,0.695668694532864,2,352.5,1468,421,944.5,"topic_1","security and privacy","security and privacy","security and privacy"
