"","doi","topics","test_id","test_name","N","test_p_value","factor","effectsize_id","effectsize_measure","effectsize_value","CI_upper","CI_lower","CI_type","year","testnames_unified","is_rm","of_interest","effectsize_measure_unified","specifiers","to_manipulate","N_found","test_p_value_found","effectsize_measure_found","effectsize_value_found","CI_upper_found","CI_lower_found","CI_type_found","is_valid","converted_r_es","manual_is_found_es","N_found_manual","N_num"
"15","10.1145/3290605.3300478","empirical studies in hci;human-centered computing",1,"logistic regression for attention","369","< .05","Formality (formal)",1,"Odds Ratio",1.68,"UNKNOWN","UNKNOWN","95% CI",2019,"logistic regression","not_RM","yes","odds_ratio","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.18830504724972,NA,NA,369
"16","10.1145/3290605.3300478","empirical studies in hci;human-centered computing",1,"logistic regression for attention","369","< .05","Platform (MTurk)",1,"Odds Ratio",1.83,"UNKNOWN","UNKNOWN","95% CI",2019,"logistic regression","not_RM","yes","odds_ratio","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.218912309068849,NA,NA,369
"17","10.1145/3290605.3300478","empirical studies in hci;human-centered computing",1,"logistic regression for attention","369","UNKNOWN","English (True)",1,"Odds Ratio",1.58,"UNKNOWN","UNKNOWN","95% CI",2019,"logistic regression","not_RM","yes","odds_ratio","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.166236058149745,NA,NA,369
"18","10.1145/3290605.3300478","empirical studies in hci;human-centered computing",1,"logistic regression for attention","369","UNKNOWN","Age",1,"Odds Ratio",1,"UNKNOWN","UNKNOWN","95% CI",2019,"logistic regression","not_RM","yes","odds_ratio","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0,NA,NA,369
"19","10.1145/3290605.3300478","empirical studies in hci;human-centered computing",1,"logistic regression for attention","369","UNKNOWN","Gender (male)",1,"Odds Ratio",0.75,"UNKNOWN","UNKNOWN","95% CI",2019,"logistic regression","not_RM","yes","odds_ratio","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.104823283797757,NA,NA,369
"20","10.1145/3290605.3300478","empirical studies in hci;human-centered computing",1,"logistic regression for attention","369","< .05","Education",1,"Odds Ratio",1.08,"UNKNOWN","UNKNOWN","95% CI",2019,"logistic regression","not_RM","yes","odds_ratio","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.0280873142415874,NA,NA,369
"21","10.1145/3290605.3300478","empirical studies in hci;human-centered computing",2,"logistic regression for dropout","369","UNKNOWN","Formality (formal)",1,"Odds Ratio",1.11,"UNKNOWN","UNKNOWN","95% CI",2019,"logistic regression","not_RM","yes","odds_ratio","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.0380827651545477,NA,NA,369
"22","10.1145/3290605.3300478","empirical studies in hci;human-centered computing",2,"logistic regression for dropout","369","< .01","Platform (MTurk)",1,"Odds Ratio",0.42,"UNKNOWN","UNKNOWN","95% CI",2019,"logistic regression","not_RM","yes","odds_ratio","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.311765027698112,NA,NA,369
"23","10.1145/3290605.3300478","empirical studies in hci;human-centered computing",3,"linear regression for time","369","0.08","",1,"R2",0.08,"UNKNOWN","UNKNOWN","95% CI",2019,"linear regression","not_RM","yes","r_squared","",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.282842712474619,NA,NA,369
"24","10.1145/3290605.3300478","empirical studies in hci;human-centered computing",4,"linear regression for performance","369","0.12","",1,"R2",0.12,"UNKNOWN","UNKNOWN","95% CI",2019,"linear regression","not_RM","yes","r_squared","",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.346410161513775,NA,NA,369
"25","10.1145/3290605.3300331","virtual reality;human-centered computing;pointing",1,"repeated measures anova (selection time)","12","< 0.001","Block",1,"η²_G",0.04,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"repeated measures anova","RM","yes","eta_squared","generalized",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.2,NA,NA,12
"26","10.1145/3290605.3300331","virtual reality;human-centered computing;pointing",1,"repeated measures anova (selection time)","12","< 0.001","Technique",1,"η²_G",0.1,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"repeated measures anova","RM","yes","eta_squared","generalized",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.316227766016838,NA,NA,12
"27","10.1145/3290605.3300331","virtual reality;human-centered computing;pointing",1,"repeated measures anova (selection time)","12","< 0.001","Size",1,"η²_G",0.07,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"repeated measures anova","RM","yes","eta_squared","generalized",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.264575131106459,NA,NA,12
"28","10.1145/3290605.3300331","virtual reality;human-centered computing;pointing",1,"repeated measures anova (selection time)","12","< 0.001","Technique × Size",1,"η²_G",0.05,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"repeated measures anova","RM","yes","eta_squared","generalized",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.223606797749979,NA,NA,12
"29","10.1145/3290605.3300331","virtual reality;human-centered computing;pointing",1,"repeated measures anova (selection time)","12","< 0.001","Density",1,"η²_G",0.11,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"repeated measures anova","RM","yes","eta_squared","generalized",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.33166247903554,NA,NA,12
"30","10.1145/3290605.3300331","virtual reality;human-centered computing;pointing",1,"repeated measures anova (selection time)","12","< 0.001","Technique × Density",1,"η²_G",0.01,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"repeated measures anova","RM","yes","eta_squared","generalized",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.1,NA,NA,12
"31","10.1145/3290605.3300331","virtual reality;human-centered computing;pointing",3,"repeated measures anova (selection time)","9","0.046","Function",1,"η²_G",0.07,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"repeated measures anova","RM","yes","eta_squared","generalized",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.264575131106459,NA,NA,9
"32","10.1145/3290605.3300331","virtual reality;human-centered computing;pointing",3,"repeated measures anova (selection time)","9","< 0.001","Position",1,"η²_G",0.55,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"repeated measures anova","RM","yes","eta_squared","generalized",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.741619848709566,NA,NA,9
"33","10.1145/3290605.3300331","virtual reality;human-centered computing;pointing",3,"repeated measures anova (selection time)","9","< 0.001","Function × Position",1,"η²_G",0.16,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"repeated measures anova","RM","yes","eta_squared","generalized",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.4,NA,NA,9
"34","10.1145/3290605.3300331","virtual reality;human-centered computing;pointing",6,"repeated measures anova (error rate)","9","< 0.001","Technique",1,"η²_G",0.21,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"repeated measures anova","RM","yes","eta_squared","generalized",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.458257569495584,NA,NA,9
"35","10.1145/3290605.3300815","interaction devices;human-centered computing",1,"wilcoxon signed-rank test","8","< 0.05","error rate",1,"r",0.28,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"wilcoxon matched-pairs test","RM","yes","pearsons_r","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.28,NA,NA,8
"36","10.1145/3290605.3300815","interaction devices;human-centered computing",1,"wilcoxon signed-rank test","8","< 0.01","TLX",1,"r",0.32,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"wilcoxon matched-pairs test","RM","yes","pearsons_r","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.32,NA,NA,8
"37","10.1145/3290605.3300815","interaction devices;human-centered computing",1,"wilcoxon signed-rank test","8","< 0.01","SEQ",1,"r",0.32,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"wilcoxon matched-pairs test","RM","yes","pearsons_r","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.32,NA,NA,8
"38","10.1145/3290605.3300815","interaction devices;human-centered computing",2,"wilcoxon signed-rank test","8","< 0.05","error rate",1,"r",0.28,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"wilcoxon matched-pairs test","RM","yes","pearsons_r","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.28,NA,NA,8
"39","10.1145/3290605.3300815","interaction devices;human-centered computing",2,"wilcoxon signed-rank test","8","< 0.01","TLX",1,"r",0.32,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"wilcoxon matched-pairs test","RM","yes","pearsons_r","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.32,NA,NA,8
"40","10.1145/3290605.3300815","interaction devices;human-centered computing",2,"wilcoxon signed-rank test","8","< 0.01","SEQ",1,"r",0.32,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"wilcoxon matched-pairs test","RM","yes","pearsons_r","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.32,NA,NA,8
"41","10.1145/3290605.3300815","interaction devices;human-centered computing",3,"wilcoxon signed-rank test","8","< 0.05","TCT",1,"r",0.28,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"wilcoxon matched-pairs test","RM","yes","pearsons_r","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.28,NA,NA,8
"42","10.1145/3290605.3300815","interaction devices;human-centered computing",3,"wilcoxon signed-rank test","8","< 0.01","TLX",1,"r",0.32,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"wilcoxon matched-pairs test","RM","yes","pearsons_r","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.32,NA,NA,8
"43","10.1145/3290605.3300815","interaction devices;human-centered computing",4,"wilcoxon signed-rank test","8","< 0.01","SEQ",1,"r",0.32,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"wilcoxon matched-pairs test","RM","yes","pearsons_r","",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.32,NA,NA,8
"44","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",1,"regression analysis","211","UNKNOWN","",1,"R2",0.15,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.387298334620742,"TRUE","TRUE",211
"45","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",2,"regression analysis","211","UNKNOWN","",1,"R2",0.1,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.316227766016838,"TRUE","TRUE",211
"46","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",3,"regression analysis","211","UNKNOWN","",1,"R2",0.16,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.4,"TRUE","TRUE",211
"47","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",4,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.12,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.346410161513775,"TRUE","TRUE",211
"48","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",4,"regression analysis","211","UNKNOWN","",2,"Total R2",0.27,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.519615242270663,"TRUE","TRUE",211
"49","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",5,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.13,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.360555127546399,"TRUE","TRUE",211
"50","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",5,"regression analysis","211","UNKNOWN","",2,"Total R2",0.22,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.469041575982343,"TRUE","TRUE",211
"51","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",6,"regression analysis","211","UNKNOWN","",1,"Incremental R2",0.16,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.4,"TRUE","TRUE",211
"52","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",6,"regression analysis","211","UNKNOWN","",2,"Total R2",0.32,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.565685424949238,"TRUE","TRUE",211
"53","10.1145/3544548.3581200","empirical studies in hci;human-centered computing",7,"regression analysis","211","UNKNOWN","",1,"R2",0.21,"UNKNOWN","UNKNOWN","UNKNOWN",2019,"regression (unspecified)","not_applicable","yes","r_squared","",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.458257569495584,"TRUE","TRUE",211
